time_s,track_id,lat_deg,lon_deg,alt_m,range_m,azimuth_deg,elevation_deg,radial_velocity_mps,snr_db,rcs_dbsm,x_ecef_m,y_ecef_m,z_ecef_m,vx_ecef_mps,vy_ecef_mps,vz_ecef_mps
35.5,1,39.158564940432655,-76.62692675388202,38190.15385765955,59209.198776429745,51.583754122139,39.9628028799948,1556.0625685495863,13.161383016523473,-6.110430684414478,1149444.2320736086,-4834939.887744017,4047203.067250339,1020.7870980833177,30.49487981425807,1181.6067166706118
35.75,1,39.160321190219314,-76.62404404056186,38416.408851088025,59598.02704899016,51.583754122139396,39.93051140363422,1554.5638945717997,14.09565827818964,-4.73628279564348,1149699.3753525724,-4834932.031627143,4047498.2764553856,1020.3591336278062,32.35405518510845,1180.0669237042853
36.0,1,39.162077269302245,-76.62116134695421,38642.0667204475,59986.4808651652,51.58375412213877,39.89818943170716,1553.0669179859958,13.670888079998395,-5.292171185803555,1149954.4116404224,-4834923.7107164245,4047793.1007121913,1019.9311691722945,34.21323055595883,1178.527130737959
36.25,1,39.16383317819114,-76.61827867224312,38867.12746472377,60374.56064969416,51.58375412213928,39.86583694159744,1551.5716419266055,14.07096568913165,-5.2519773782068855,1150209.3409371588,-4834914.925011865,4048087.540020755,1019.503204716783,36.0724059268091,1176.9873377716326
36.5,1,39.16558891739549,-76.61539601561272,39091.59108291194,60762.26682810038,51.58375412213945,39.833453910720245,1550.0780695325866,8.521324417965253,-3.528508027006843,1150464.1632427808,-4834905.674513462,4048381.5943810767,1019.0752402612713,37.93158129765948,1175.447544805306
36.75,1,39.167344487424586,-76.61251337624714,39315.457574016415,61149.59982669419,51.58375412213928,39.80104031652755,1548.5862039474132,13.897280071337391,-5.236850264509684,1150718.8785572893,-4834895.959221216,4048675.2637931574,1018.6472758057598,39.79075666850986,1173.9077518389795
37.0,1,39.16909988878748,-76.60963075333059,39538.726937053725,61536.56007257076,51.583754122139226,39.76859613650789,1547.09604831907,12.69084222573959,-4.7040060103129,1150973.4868806838,-4834885.779135128,4048968.5482569966,1018.2193113502483,41.64993203936024,1172.3679588726532
37.25,1,39.17085512199307,-76.60674814604731,39761.39917104319,61923.14799361271,51.583754122139055,39.736121348184085,1545.607605800058,13.981869907008837,-6.756721782478582,1151227.9882129643,-4834875.134255196,4049261.4477725937,1017.7913468947368,43.50910741021062,1170.8281659063268
37.5,1,39.17261018755001,-76.60386555358158,39983.47427501902,62309.364018492604,51.58375412213928,39.703615929116786,1544.1208795473822,10.150144449987742,-3.272649785835815,1151482.382554131,-4834864.024581422,4049553.9623399493,1017.3633824392251,45.368282781060884,1169.2883729400005
37.75,1,39.174365085966784,-76.60098297511772,40204.95224802103,62695.20857667178,51.583754122139055,39.67107985690174,1542.6358727225575,12.453575491960883,-4.136171986301812,1151736.6699041838,-4834852.450113805,4049846.0919590634,1016.9354179837136,47.227458151911264,1167.748579973674
38.0,1,39.17611981775162,-76.59810040984009,40425.8330891002,63080.682098403755,51.58375412213945,39.63851310917364,1541.152588491596,10.898347748328103,-5.061324345828847,1151990.8502631232,-4834840.410852347,4050137.8366299365,1016.507453528202,49.086633522761645,1166.2087870073474
38.25,1,39.17787438341259,-76.59521785693308,40646.11679731496,63465.78501473182,51.58375412213945,39.60591566360128,1539.6710300250163,15.498502939290187,-5.3344561723558765,1152244.9236309482,-4834827.906797045,4050429.1963525675,1016.0794890726904,50.945808893612025,1164.668994041021
38.5,1,39.17962878345755,-76.59233531558111,40865.803371733055,63850.51775749443,51.58375412213894,39.57328749789152,1538.1912004978328,16.258046280241985,-4.417344758012293,1152498.8900076593,-4834814.937947899,4050720.171126957,1015.6515246171789,52.804984264462405,1163.1292010746947
38.75,1,39.18138301839416,-76.5894527849687,41084.89281143248,64234.880759323605,51.58375412213928,39.54062858979198,1536.7131030895432,13.567336467138118,-3.8225881110223066,1152752.7493932566,-4834801.504304912,4051010.7609531046,1015.2235601616674,54.66415963531267,1161.5894081083682
39.0,1,39.183137088729836,-76.58657026428033,41303.38511550054,64618.874453647564,51.583754122139,39.50793891708453,1535.2367409841465,13.463610753205792,-3.2560654738322077,1153006.50178774,-4834787.605868082,4051300.965831011,1014.7955957061557,56.52333500616305,1160.0496151420416
39.25,1,39.184890994971845,-76.58368775270054,41521.280283031054,65002.499274689995,51.58375412213945,39.47521845759128,1533.762117370122,11.889655888545754,-4.172011823202941,1153260.1471911098,-4834773.242637409,4051590.7857606756,1014.3676312506442,58.38251037701343,1158.5098221757153
39.5,1,39.18664473762724,-76.58080524941393,41738.57831312809,65385.75565747318,51.58375412213945,39.44246718917256,1532.2892354404325,10.985826465167328,-4.933454184140795,1153513.6856033655,-4834758.414612894,4051880.220742099,1013.9396667951326,60.24168574786381,1156.970029209389
39.75,1,39.188398317202875,-76.57792275360511,41955.279204905964,65768.64403781698,51.583754122139055,39.409685089725556,1530.8180983925258,9.922637232335578,-4.010416065405147,1153767.1170245071,-4834743.121794535,4052169.2707752804,1013.511702339621,62.10086111871419,1155.4302362430624
40.0,1,39.19015173420537,-76.57504026445872,42171.3829574883,66151.16485234293,51.58375412213951,39.37687213719045,1529.3487094283155,11.797198042618414,-4.217649657582339,1154020.4414545354,-4834727.364182334,4052457.9358602203,1013.0837378841095,63.96003648956446,1153.890443276736
40.25,1,39.19190498914121,-76.57215778115946,42386.889570003375,66533.31853847193,51.583754122139,39.34402830954263,1527.881071754198,13.5801705511172,-3.8287529065326806,1154273.6588934492,-4834711.14177629,4052746.2159969187,1012.6557734285979,65.81921186041484,1152.3506503104095
40.5,1,39.1936580825166,-76.56927530289202,42601.79904159624,66915.1055344285,51.583754122139396,39.3111535848012,1526.4151885810284,13.440582692651653,-3.1793538423531986,1154526.7693412497,-4834694.454576404,4053034.1111853756,1012.2278089730863,67.67838723126522,1150.8108573440832
40.75,1,39.19541101483762,-76.56639282884117,42816.111371413805,67296.526279239,51.58375412213917,39.27824794102199,1524.9510631241344,11.746387760842456,-6.57204025565324,1154779.7727979359,-4834677.302582675,4053321.621425591,1011.7998445175748,69.5375626021156,1149.2710643777568
